,title,cpu,gpu/case
0,Great AMD Gaming Build,AMD Ryzen 5 5600X,"Parametric Video Card (Chipset: Radeon RX 6600 XT; Cooling: 2 Fans, 3 Fans, 120 mm Radiator, ...)"
1,Great Intel Gaming Build,Intel Core i5-12400,"Parametric Video Card (Chipset: Radeon RX 6600 XT; Cooling: 2 Fans, 3 Fans, 120 mm Radiator, ...)"
2,Excellent AMD Gaming/Streaming Build,AMD Ryzen 5 5600X,"Parametric Video Card (Chipset: Radeon RX 6700 XT; Cooling: 2 Fans, 3 Fans)"
3,Excellent Intel Gaming/Streaming Build,Intel Core i5-12600K,"Parametric Video Card (Chipset: Radeon RX 6700 XT; Cooling: 2 Fans, 3 Fans)"
4,Enthusiast AMD Gaming/Streaming Build,AMD Ryzen 7 5800X,"Parametric Video Card (Chipset: GeForce RTX 3070 Ti; Cooling: 2 Fans, 3 Fans)"
5,Enthusiast Intel Gaming/Streaming Build,Intel Core i7-12700K,"Parametric Video Card (Chipset: GeForce RTX 3070 Ti; Cooling: 2 Fans, 3 Fans)"
6,Magnificent AMD AM5 Gaming/Streaming Build,AMD Ryzen 5 7600X,"Parametric Video Card (Chipset: Radeon RX 6900 XT; Length: 224 mm - 403 mm; Cooling: 2 Fans, 3 Fans, 120 mm Radiator, ...)"
7,Magnificent Intel Gaming/Streaming Build,Intel Core i7-12700K,"Parametric Video Card (Chipset: GeForce RTX 3080 Ti; Length: 224 mm - 403 mm; Cooling: 2 Fans, 3 Fans, 120 mm Radiator, ...)"
8,Glorious AMD AM5 Gaming/Streaming Build,AMD Ryzen 9 7950X,"Parametric Video Card (Chipset: GeForce RTX 3090 Ti; Cooling: 2 Fans, 3 Fans, 120 mm Radiator, ...)"
9,Glorious Intel Gaming/Streaming Build,Intel Core i9-12900K,"Parametric Video Card (Chipset: GeForce RTX 3090; Cooling: 2 Fans, 3 Fans, 120 mm Radiator, ...)"
10,Entry Level AMD Gaming Build,AMD Ryzen 5 5600G,Fractal Design Focus G ATX Mid Tower
11,Entry Level Intel Gaming Build,Intel Core i3-12100F,Parametric Video Card (Chipset: Radeon RX 6600)
12,Modest AMD Gaming Build,AMD Ryzen 5 5600G,"Parametric Video Card (Chipset: Radeon RX 6600; Cooling: 2 Fans, 3 Fans)"
13,Modest Intel Gaming Build,Intel Core i5-12400F,"Parametric Video Card (Chipset: Radeon RX 6600; Cooling: 2 Fans, 3 Fans)"
14,Budget Home/Office Build,Intel Core i3-12100,Fractal Design Core 1000 USB 3.0 MicroATX Mid Tower
